block_name,area_name,activity,method,pesticide,lead_agency,start_date,finish_date,lat,lon,region
Kaitorete Western Sci Pindone,Kaitorete Western Sci Pindone,,Aerial,Pindone ,DOC,1773619200000,1776384000000,-43.83448798003594,172.57597786958434,Canterbury
Kakahu Bush 2023,Kakahu Bush 2023,,Bait bags,Cyanide,Forestry,1687910400000,1751111700000,-44.14769523869295,171.0656927089073,West Coast
Kakepuku_Rat_DBlk#137,Kakepuku_Rat_Possum_2025,,Bait stations,Diphacinone,Trust,1755648000000,1782777600000,-38.068008834136926,175.25047008857263,Waikato
Kakepuku_Rat_Possum_Feracol#82,Kakepuku_Rat_Possum_2025,,Bait bags,Cholecalciferol,Trust,1755648000000,1782777600000,-38.068008834136926,175.25047008857263,Waikato
Kakepuku_Rat_Possum_Pestoff#122,Kakepuku_Rat_Possum_2025,,Bait stations,Diphacinone,Trust,1755648000000,1782777600000,-38.068008834136926,175.25047008857263,Waikato
Karioi possum and rat control DoubleTap #144,Karioi possum and rat control 2025,,Bait stations,Diphacinone + Cholecalciferol,Trust,1754784000000,1775779200000,-37.850209479205176,174.80487611036992,Waikato
Karioi possum and rat control Feracol #82,Karioi possum and rat control 2025,,Bait bags,Cholecalciferol,Trust,1754784000000,1775779200000,-37.850209479205176,174.80487611036992,Waikato
Karioi possum and rat control Pindone#116,Karioi possum and rat control 2025,,Bait stations,Pindone,Trust,1754784000000,1775779200000,-37.850209479205176,174.80487611036992,Waikato
Karioi possum and rat D block #137,Karioi possum and rat control 2025,,Bait stations,Diphacinone,Trust,1754784000000,1775779200000,-37.850209479205176,174.80487611036992,Waikato
Kawau Island brodifacoum for possums,Kawau Island possum & wallaby eradication,,Bait stations,Brodifacoum,Council,1748736000000,1806537600000,-36.43078654411914,174.82504782641604,Unknown
Kaweka Taramoa 25-26 Cyanide 9.4g/kg BB,Kaweka Taramoa Possum OSPRI 2025-26,,Bait bags,Cyanide,TB Free,1767744000000,1795392000000,-39.276324129218985,176.46714869354523,Unknown
Kaweka Taramoa 25-26 Diphacinone BS,Kaweka Taramoa Possum OSPRI 2025-26,,Bait stations,Diphacinone,TB Free,1767744000000,1795392000000,-39.276324129218985,176.46714869354523,Unknown
Kaweka Taramoa 25-26 Feratox BB,Kaweka Taramoa Possum OSPRI 2025-26,,Bait bags,Cyanide,TB Free,1767744000000,1795392000000,-39.276324129218985,176.46714869354523,Unknown
Kaweka Taramoa 25-26 Feratox pellets in BS,Kaweka Taramoa Possum OSPRI 2025-26,,Bait stations,Cyanide,TB Free,1767744000000,1795392000000,-39.276324129218985,176.46714869354523,Unknown
Kaweka Taramoa Feratox with prefeed paste BS,Kaweka Taramoa Possum OSPRI 2025-26,,Bait stations,Cyanide,TB Free,1767744000000,1795392000000,-39.276324129218985,176.46714869354523,Unknown
Kohitere Feratox bait bags 24-25,Horowhenua Pest Control 2023-2026,,Bait bags,Cyanide,DOC,1727222400000,1751241600000,-40.649743366212064,175.35527213822894,Wellington
Kohitere pestoff 50d bait stations,Horowhenua Pest Control 2023-2026,,Bait stations,Diphacinone,DOC,1722988800000,1782777600000,-40.649743366212064,175.35527213822894,Wellington
Lagoon edge brodifacoum,South Okarito ZIP ground based,,Bait stations,Brodifacoum,Shared (detail in comments),1711324800000,1729209600000,-43.22828702754392,170.1932139987888,West Coast
Lake Wahapo Bait Stations,North Okarito Ground Control,,Bait stations,Brodifacoum,Shared (detail in comments),1747094400000,1755648000000,-43.24586204918227,170.28308732015452,West Coast
Landsborough,Landsborough,,Aerial,Sodium fluoroacetate,DOC,1763856000000,1763942400000,-43.92259832286579,169.49233327072923,West Coast
Lawries Scenic Reserve double tap 2025,Lawries Scenic Reserve double tap 2025,,Bait stations,Diphacinone + Cholecalciferol,Trust,1760659200000,1760659200000,-36.4063694955377,174.7150956126037,Northland
Lower Hopkins Feratox,Ohau Forests,,Bait bags,Cyanide,DOC,1720483200000,1720742400000,-43.970135540339975,169.83627390532703,West Coast
Mahi SR Feratox 24 25,Mahia SR Feratox and Double Tapp 24 25,,Bait stations,Cyanide,DOC,1731888000000,1737331200000,-39.132046655425285,177.87463528208556,East Coast
Mahia SR Double Tapp 24 25,Mahia SR Feratox and Double Tapp 24 25,,Bait stations,Diphacinone + Cholecalciferol,Council,1731888000000,1754006400000,-39.132046655425285,177.87463528208556,East Coast
Mahurangi East double tap bait stations,Mahurangi East Scotts landing rodent control,,Bait stations,Diphacinone + Cholecalciferol,Trust,1673913600000,1768564264000,-36.48446478446152,174.72844490955436,Northland
Mahurangi_Island_ratincursion25,Mahurangi_Island_ratincursion25,,Handlaying,Brodifacoum,DOC,1765152000000,1782777600000,-36.82950514436924,175.820143874521,Unknown
Main Huxley Baitstation Feratox,Ohau Forests,,Bait stations,Cyanide,DOC,1470700800000,1502150400000,-44.00712611146126,169.77904092921753,West Coast
Main Huxley Feratox,Ohau Forests,,Bait bags,Cyanide,DOC,1632787200000,1634860800000,-44.00712611146126,169.77904092921753,West Coast
Makahika Feratox 2025-26,Horowhenua Pest Control 2023-2026,,Bait bags,Cyanide,DOC,1759190400000,1782777600000,-40.635918067845424,175.38660722800444,Wellington
Makahika pestoff 50D 24-26,Horowhenua Pest Control 2023-2026,,Bait stations,Diphacinone,DOC,1723420800000,1782777600000,-40.635918067845424,175.38660722800444,Wellington
Makarora NPCP 2025,Makarora NPCP 2025,,Aerial,Sodium fluoroacetate,DOC,1772150400000,1772409600000,-44.19660329655957,169.14835827651822,West Coast
Makarora Rat Control 2024,Makarora Rat Control 2024,,Bait stations,Diphacinone,Trust,1699574400000,1727654400000,-44.14569015959061,169.30567426743053,West Coast
Manaia 1080,Manaia Reserve Pest Control,,Bait stations,Sodium fluoroacetate,DOC,1725235200000,1727654400000,-35.8054471520957,174.5133677714363,Northland
Manawatu Gorge South 1080 Ground 2024 Bait Stations,Manawatu Gorge South 1080 Ground 2024,,Bait stations,Sodium fluoroacetate,DOC,1728864000000,1751241600000,-40.33389162962159,175.80028342418848,Wellington
Manawatu Gorge South 1080 Ground 2024 hand lay,Manawatu Gorge South 1080 Ground 2024,,Handlaying,Sodium fluoroacetate,DOC,1728864000000,1751241600000,-40.33389162962159,175.80028342418848,Wellington
Manawatu Gorge South Feratox 2023-2024,Manawatu Gorge South Ground Based Pest Control 2023-2026,,Bait bags,Cyanide,DOC,1701043200000,1782777600000,-40.33389162962159,175.80028342418848,Wellington
Manawatu Gorge South Pestoff 50D Rats 2024-26,Manawatu Gorge South Ground Based Pest Control 2023-2026,,Bait stations,Diphacinone,DOC,1747612800000,1782777600000,-40.33389162962159,175.80028342418848,Wellington
Mangatutu-Tunawaea Diphacinone (Pestoff Rat Bait 50D) Bait stations #122,Mangatutu and Tunawaea ground based kokako protection 2025-2029,,Bait stations,Diphacinone,Trust,1756166400000,1869609600000,-38.378658230840486,175.44461418873374,Waikato
Mangatutu-Tunawaea Diphacinone (RatAbate Paste) Bait stations #121,Mangatutu and Tunawaea ground based kokako protection 2025-2029,,Bait stations,Diphacinone,Trust,1756166400000,1869609600000,-38.378658230840486,175.44461418873374,Waikato
