title,organisation,lat,lon,region
Waipahihi trapping,Waipahihi Botanical Society,-38.7109,176.1028,Unknown
Windy Hill Sanctuary,Windy Hill Rosalie Bay Catchment Trust,-36.3041,175.5297,Unknown
Predator Free Brooklyn,,-41.3119,174.7634,Wellington
Project Kaka at Donnelly Flat,DoC and volunteers,-40.9037,175.473,Wellington
31-73 Kaiatea Road,Part of the Kaiatea Land Care Group,-35.6314,174.4469,Northland
CompostBin,Serge,-41.2917,174.7193,Wellington
Cape to City,"Hawke's Bay Regional Council, Department of Conservation",-39.7786,176.9537,Unknown
Rotoehu Ecological Trust,Rotoehu Ecological Trust,-37.97,176.5205,Bay of Plenty
Kakepuku Mt Conservation Project,Kakepuku Mt Coummunity Group,-38.0681,175.253,Waikato
"Raglan, 377 Wainui",Karioi Maunga,-37.8178,174.8402,Waikato
Predator Free Mt Cook Newtown Berhampore,Predator Free Mt Cook Newtown Berhampore,-41.3117,174.7791,Wellington
Plimmerton,,-41.066,174.8612,Wellington
Steele Creek,Southern Lakes (Queenstown) NZ Deerstalkers Association,-44.9522,168.2213,Otago
Aorangi Restoration Project,Aorangi Restoration Trust,-41.4288,175.3158,Wellington
Greenheart,Northland Fish and Game Council,-35.7928,174.0573,Northland
Friends of the Blade,Whakamarama Community Inc.,-37.765,175.9574,Waikato
Predator Free Pukerua Bay ,Predator Free Pukerua Bay ,-41.0359,174.89,Wellington
Kukuwai,Private Wetland Restoration,-41.2216,173.0572,Nelson Marlborough
Oratia ,,-36.923,174.5972,Auckland
Wellington Branch Forest and Bird Native Plant Restoration Group Nursery trapping,Wellington branch Forest and Bird,-41.2908,174.7544,Wellington
Pūkaha ,Pūkaha National Wildlife Centre,-40.7431,175.6368,Wellington
TT Trapping,,-41.2784,174.7603,Wellington
Mahakipawa Arm,,-41.2848,173.8489,Nelson Marlborough
Te Rere Yellow Eyed Penguin Reserve,Forest and Bird Society,-46.6496,169.2177,Southland
Arch Hill Scenic Reserve,,-36.8679,174.7392,Auckland
Poutiri Ao o Tane,Hawke's Bay Regional Council,-39.1454,176.7978,East Coast
Off The Radar,,-36.8962,175.831,Unknown
Omori Kuratau Pest Management Group,Omori Kuratau Pest Management Group,-38.8962,175.7587,Unknown
Friends of A’Deane’s Bush,,-39.9323,176.3061,Wellington
Waiohanga,,-40.8283,175.2147,Wellington
Tavora,Yellow-eyed Penguin Trust,-45.5287,170.7613,Otago
Pukekauri Farm - Derry Block,J&D Burke Holdings Ltd,-37.61,175.8801,Waikato
WAINUI SR,DOC,-43.8055,172.9028,Canterbury
Takarunga/Mt Victoria,Tupuna Maunga Authority,-36.8266,174.7992,Auckland
Mangawhero trapping line,Ngati Rangi Trust Project Tongariro and DOC,-39.3852,175.4335,Unknown
Bayview Living Neighbourhood Project,,-36.7731,174.7071,Auckland
Kai Iwi Lakes Pest Control ,Northland Regional Council,-35.8068,173.6476,Northland
Rangitaane01,Tanenuiarangi Manawatu Incorporated,-40.377,175.6147,Wellington
Predator Free Port Hills - Lyttelton (www.predatorfreeporthills.org.nz),Summit Road Society,-43.6032,172.7078,Canterbury
Predator Free Camborne,,-41.0907,174.8726,Wellington
Totties Home,,-46.3285,169.6335,Otago
Solar Powered Estate,Ayre Chaffey Family Trust,-44.6638,169.2264,Otago
Cashmere Predator-Free,Cashmere Predator Free community volunteers + Cashmere Residents' Association Resilience + Predator Free Port Hills background - we are: www.trap.nz/project/251462/info,-43.5752,172.6333,Canterbury
Predator Free Port Hills - Head of the Harbour (www.predatorfreeporthills.org.nz),Predator Free Port Hills,-43.6545,172.66,Canterbury
Raetea Forest Birdsong,,-35.1649,173.425,Northland
Alpine Bird Song (Fernhill and Sunshine Bay),Alpine Bird Song,-45.0391,168.637,Otago
Taraunui Landcare,,-35.7327,174.4677,Northland
Owairaka Ratbaggers,Owairaka residents group,-36.8905,174.7179,Auckland
Predator Free Papakowhai,Pest Free Papakowhai,-41.1159,174.8633,Wellington
Bushy Point Restoration Project,Otatara Landcare Group,-46.4488,168.3206,Otago
Picton Dawn Chorus,Picton Dawn Chorus,-41.2792,174.0216,Nelson Marlborough
Mawhitipana Valley Project,,-36.781,175.0388,Auckland
Predator Free Port Hills - Diamond Harbour (www.predatorfreeporthills.org.nz),Summit Road Society,-43.6341,172.7321,Canterbury
Predator Free Normandale,Predator Free Normandale,-41.1876,174.8902,Wellington
Predator Free Arrowtown,Predator Free Arrowtown,-44.9293,168.8336,Otago
Piroa North Trappers,JohnD,-36.03,174.4522,Northland
Predator Free Port Hills - Heathcote Valley (www.predatorfreeporthills.org.nz),Summit Road Society,-43.573,172.7007,Canterbury
Predator Free Port Hills - Hillsborough (www.predatorfreeporthills.org.nz),Summit Road Society,-43.5742,172.676,Canterbury
Predator Free Port Hills - Westmorland (www.predatorfreeporthills.org.nz),Predator Free Port Hills (Summit Road Society),-43.5954,172.6174,Canterbury
Predator Free Port Hills - Huntsbury (www.predatorfreeporthills.org.nz),Summit Road Society,-43.5794,172.6565,Canterbury
Predator Free Port Hills - Halswell (www.predatorfreeporthills.org.nz),Predator Free Port Hills (Summit Road Society),-43.5898,172.5839,Canterbury
